time (s), position (m), velocity (m/s), acceleration(m/s^2)
0.005,1.2500001E-6,2.5E-4,0.05
0.01,3.7500004E-6,5.0E-4,0.05
0.015,7.5000007E-6,7.5E-4,0.05
0.02,1.2500001E-5,0.001,0.05
0.024999999,1.875E-5,0.0012500001,0.05
0.029999997,2.6250002E-5,0.0015000001,0.05
0.034999996,3.5000005E-5,0.0017500002,0.05
0.039999995,4.5000004E-5,0.002,0.05
0.044999994,5.6250006E-5,0.0022500001,0.05
0.049999993,6.875001E-5,0.0025000002,0.05
0.054999992,8.250001E-5,0.0027500002,0.05
0.05999999,9.7500015E-5,0.0030000003,0.05
0.06499999,1.13750015E-4,0.0032500003,0.05
0.06999999,1.3125001E-4,0.0035000003,0.05
0.074999996,1.5E-4,0.0037500004,0.05
0.08,1.7000001E-4,0.004,0.05
0.085,1.9125002E-4,0.00425,0.05
0.09,2.1375001E-4,0.0045000003,0.05
0.095000006,2.3750002E-4,0.0047500003,0.05
0.10000001,2.6250002E-4,0.0050000004,0.05
0.10500001,2.8875002E-4,0.0052500004,0.05
0.110000014,3.1625002E-4,0.0055000004,0.05
0.11500002,3.4500004E-4,0.0057500005,0.05
0.12000002,3.7500003E-4,0.0060000005,0.05
0.12500001,4.0625004E-4,0.0062500006,0.05
0.13000001,4.3875005E-4,0.0065000006,0.05
0.135,4.7250005E-4,0.0067500006,0.05
0.14,5.075E-4,0.0070000007,0.05
0.145,5.4375E-4,0.0072500007,0.05
0.14999999,5.8125E-4,0.0075000008,0.05
0.15499999,6.2E-4,0.007750001,0.05
0.15999998,6.6E-4,0.008,0.05
0.16499998,7.0125004E-4,0.00825,0.05
0.16999997,7.4375E-4,0.0084999995,0.05
0.17499997,7.875E-4,0.008749999,0.05
0.17999996,8.325E-4,0.008999999,0.05
0.18499996,8.7875E-4,0.009249998,0.05
0.18999995,9.2625E-4,0.009499998,0.05
0.19499995,9.75E-4,0.009749997,0.05
0.19999994,0.001025,0.009999997,0.05
0.20499994,0.00107625,0.010249997,0.05
0.20999993,0.0011287499,0.010499996,0.05
0.21499993,0.0011824999,0.010749996,0.05
0.21999992,0.0012374999,0.010999995,0.05
0.22499992,0.0012937499,0.011249995,0.05
0.22999991,0.0013512499,0.011499994,0.05
0.23499991,0.0014099998,0.011749994,0.05
0.2399999,0.0014699998,0.011999994,0.05
0.2449999,0.0015312497,0.012249993,0.05
0.2499999,0.0015937497,0.012499993,0.05
0.2549999,0.0016574997,0.012749992,0.05
0.2599999,0.0017224996,0.012999992,0.05
0.2649999,0.0017887496,0.013249991,0.05
0.2699999,0.0018562495,0.013499991,0.05
0.2749999,0.0019249995,0.013749991,0.05
0.27999988,0.0019949996,0.01399999,0.05
0.28499988,0.0020662495,0.01424999,0.05
0.28999987,0.0021387495,0.014499989,0.05
0.29499987,0.0022124995,0.014749989,0.05
0.29999986,0.0022874994,0.0149999885,0.05
0.30499986,0.0023637493,0.015249988,0.05
0.30999985,0.0024412493,0.015499988,0.05
0.31499985,0.0025199992,0.015749987,0.05
0.31999984,0.002599999,0.015999988,0.05
0.32499984,0.002681249,0.016249988,0.05
0.32999983,0.002763749,0.016499989,0.05
0.33499983,0.002847499,0.01674999,0.05
0.33999982,0.002932499,0.01699999,0.05
0.34499982,0.003018749,0.01724999,0.05
0.34999982,0.0031062488,0.01749999,0.05
0.3549998,0.0031949987,0.017749991,0.05
0.3599998,0.0032849987,0.017999992,0.05
0.3649998,0.0033762488,0.018249992,0.05
0.3699998,0.0034687486,0.018499993,0.05
0.3749998,0.0035624986,0.018749993,0.05
0.3799998,0.0036574986,0.018999994,0.05
0.38499978,0.0037537485,0.019249994,0.05
0.38999978,0.0038512484,0.019499995,0.05
0.39499977,0.0039499984,0.019749995,0.05
0.39999977,0.0040499982,0.019999996,0.05
0.40499976,0.0041512484,0.020249996,0.05
0.40999976,0.0042537483,0.020499997,0.05
0.41499975,0.004357498,0.020749997,0.05
0.41999975,0.0044624982,0.020999998,0.05
0.42499974,0.004568748,0.021249998,0.05
0.42999974,0.004676248,0.021499999,0.05
0.43499973,0.004784998,0.02175,0.05
0.43999973,0.004894998,0.022,0.05
0.44499972,0.005006248,0.02225,0.05
0.44999972,0.005118748,0.0225,0.05
0.45499972,0.005232498,0.022750001,0.05
0.4599997,0.005347498,0.023000002,0.05
0.4649997,0.0054637482,0.023250002,0.05
0.4699997,0.005581248,0.023500003,0.05
0.4749997,0.0056999982,0.023750003,0.05
0.4799997,0.005819998,0.024000004,0.05
0.4849997,0.005941248,0.024250004,0.05
0.48999968,0.006063748,0.024500005,0.05
0.49499968,0.006187498,0.024750005,0.05
0.49999967,0.0063124984,0.025000006,0.05
0.5049997,0.0064387484,0.025250006,0.05
0.5099997,0.0065662484,0.025500007,0.05
0.5149997,0.0066949986,0.025750007,0.05
0.5199997,0.0068249987,0.026000008,0.05
0.5249997,0.0069562485,0.026250008,0.05
0.5299997,0.0070887487,0.026500009,0.05
0.53499967,0.0072224988,0.02675001,0.05
0.53999966,0.0073574986,0.02700001,0.05
0.54499966,0.007493749,0.02725001,0.05
0.54999965,0.007631249,0.027500011,0.05
0.55499965,0.0077699986,0.027750012,0.05
0.55999964,0.007909998,0.028000012,0.05
0.56499964,0.008051248,0.028250013,0.05
0.56999964,0.008193748,0.028500013,0.05
0.57499963,0.008337498,0.028750014,0.05
0.5799996,0.008482498,0.029000014,0.05
0.5849996,0.008628748,0.029250015,0.05
0.5899996,0.008776248,0.029500015,0.05
0.5949996,0.008924998,0.029750016,0.05
0.5999996,0.009074998,0.030000016,0.05
0.6049996,0.009226249,0.030250017,0.05
0.6099996,0.009378749,0.030500017,0.05
0.6149996,0.009532499,0.030750018,0.05
0.6199996,0.009687499,0.031000018,0.05
0.6249996,0.009843749,0.03125002,0.05
0.6299996,0.010001249,0.03150002,0.05
0.6349996,0.010159999,0.03175002,0.05
0.63999957,0.010319999,0.03200002,0.05
0.64499956,0.01048125,0.03225002,0.05
0.64999956,0.0106437495,0.03250002,0.05
0.65499955,0.010807499,0.03275002,0.05
0.65999955,0.0109725,0.033000022,0.05
0.66499954,0.01113875,0.033250023,0.05
0.66999954,0.0113062505,0.033500023,0.05
0.67499954,0.0114750005,0.033750024,0.05
0.67999953,0.011645,0.034000024,0.05
0.6849995,0.01181625,0.034250025,0.05
0.6899995,0.011988751,0.034500025,0.05
0.6949995,0.012162501,0.034750026,0.05
0.6999995,0.012337501,0.035000026,0.05
0.7049995,0.012513751,0.035250027,0.05
0.7099995,0.012691251,0.035500027,0.05
0.7149995,0.012870001,0.035750028,0.05
0.7199995,0.013050001,0.03600003,0.05
0.7249995,0.013231251,0.03625003,0.05
0.7299995,0.0134137515,0.03650003,0.05
0.7349995,0.013597501,0.03675003,0.05
0.7399995,0.013782501,0.03700003,0.05
0.74499947,0.013968752,0.03725003,0.05
0.74999946,0.014156252,0.03750003,0.05
0.75499946,0.014345002,0.03775003,0.05
0.75999945,0.014535002,0.038000032,0.05
0.76499945,0.014726252,0.038250033,0.05
0.76999944,0.014918752,0.038500033,0.05
0.77499944,0.0151125025,0.038750034,0.05
0.77999943,0.015307503,0.039000034,0.05
0.78499943,0.015503753,0.039250035,0.05
0.7899994,0.015701253,0.039500035,0.05
0.7949994,0.015900003,0.039750036,0.05
0.7999994,0.016100002,0.040000036,0.05
0.8049994,0.016301252,0.040250037,0.05
0.8099994,0.016503751,0.040500037,0.05
0.8149994,0.016707502,0.040750038,0.05
0.8199994,0.016912503,0.04100004,0.05
0.8249994,0.017118754,0.04125004,0.05
0.8299994,0.017326254,0.04150004,0.05
0.8349994,0.017535005,0.04175004,0.05
0.8399994,0.017745005,0.04200004,0.05
0.8449994,0.017956255,0.04225004,0.05
0.84999937,0.018168755,0.04250004,0.05
0.85499936,0.018382505,0.042750042,0.05
0.85999936,0.018597504,0.043000042,0.05
0.86499935,0.018813754,0.043250043,0.05
0.86999935,0.019031255,0.043500043,0.05
0.87499934,0.019250005,0.043750044,0.05
0.87999934,0.019470006,0.044000044,0.05
0.88499933,0.019691257,0.044250045,0.05
0.88999933,0.019913757,0.044500045,0.05
0.8949993,0.020137507,0.044750046,0.05
0.8999993,0.020362508,0.045000046,0.05
0.9049993,0.020588757,0.045250047,0.05
0.9099993,0.020816257,0.045500048,0.05
0.9149993,0.021045007,0.045750048,0.05
0.9199993,0.021275006,0.04600005,0.05
0.9249993,0.021506257,0.04625005,0.05
0.9299993,0.021738758,0.04650005,0.05
0.9349993,0.02197251,0.04675005,0.05
0.9399993,0.02220751,0.04700005,0.05
0.9449993,0.02244376,0.04725005,0.05
0.9499993,0.02268126,0.04750005,0.05
0.95499927,0.02292001,0.047750052,0.05
0.95999926,0.02316001,0.048000053,0.05
0.96499926,0.02340126,0.048250053,0.05
0.96999925,0.02364376,0.048500054,0.05
0.97499925,0.02388751,0.048750054,0.05
0.97999924,0.02413251,0.049000055,0.05
0.98499924,0.024378762,0.049250055,0.05
0.98999923,0.024626262,0.049500056,0.05
0.99499923,0.024875013,0.049750056,0.05
0.9999992,0.025125014,0.050000057,0.05
1.0049993,0.025376264,0.050250057,0.05
1.0099993,0.025628764,0.050500058,0.05
1.0149993,0.025882514,0.05075006,0.05
1.0199993,0.026137514,0.05100006,0.05
1.0249993,0.026393764,0.05125006,0.05
1.0299993,0.026651263,0.05150006,0.05
1.0349993,0.026910014,0.05175006,0.05
1.0399992,0.027170015,0.05200006,0.05
1.0449992,0.027431266,0.05225006,0.05
1.0499992,0.027693767,0.05250006,0.05
1.0549992,0.027957518,0.052750062,0.05
1.0599992,0.028222518,0.053000063,0.05
1.0649992,0.028488768,0.053250063,0.05
1.0699992,0.028756268,0.053500064,0.05
1.0749992,0.029025018,0.053750064,0.05
1.0799992,0.029295018,0.054000065,0.05
1.0849992,0.029566268,0.054250065,0.05
1.0899992,0.029838767,0.054500066,0.05
1.0949992,0.030112518,0.054750066,0.05
1.0999992,0.030387519,0.055000067,0.05
1.1049992,0.03066377,0.055250067,0.05
1.1099992,0.03094127,0.055500068,0.05
1.1149992,0.03122002,0.05575007,0.05
1.1199992,0.031500023,0.05600007,0.05
1.1249992,0.031781275,0.05625007,0.05
1.1299992,0.032063775,0.05650007,0.05
1.1349992,0.032347526,0.05675007,0.05
1.1399992,0.032632526,0.05700007,0.05
1.1449991,0.032918777,0.05725007,0.05
1.1499991,0.033206277,0.05750007,0.05
1.1549991,0.033495028,0.057750072,0.05
1.1599991,0.033785027,0.058000073,0.05
1.1649991,0.034076277,0.058250073,0.05
1.1699991,0.034368776,0.058500074,0.05
1.1749991,0.034662526,0.058750074,0.05
