time (s), position (m), velocity (m/s), acceleration(m/s^2)
1.1799991,0.034957528,0.059000075,0.05
1.1849991,0.035253778,0.059250075,0.05
1.1899991,0.03555128,0.059500076,0.05
1.1949991,0.03585003,0.059750076,0.05
1.1999991,0.03615003,0.060000077,0.05
1.2049991,0.03645128,0.060250077,0.05
1.2099991,0.03675378,0.060500078,0.05
1.2149991,0.03705753,0.06075008,0.05
1.2199991,0.03736253,0.06100008,0.05
1.2249991,0.03766878,0.06125008,0.05
1.2299991,0.03797628,0.06150008,0.05
1.2349991,0.038285032,0.06175008,0.05
1.239999,0.038595032,0.06200008,0.05
1.244999,0.038906284,0.06225008,0.05
1.249999,0.039218783,0.06250008,0.05
1.254999,0.039532535,0.06275008,0.05
1.259999,0.039847534,0.063000076,0.05
1.264999,0.040163785,0.06325007,0.05
1.269999,0.040481284,0.06350007,0.05
1.274999,0.040800035,0.063750066,0.05
1.279999,0.041120034,0.06400006,0.05
1.284999,0.041441284,0.06425006,0.05
1.289999,0.041763786,0.064500056,0.05
1.294999,0.042087536,0.06475005,0.05
1.299999,0.042412538,0.06500005,0.05
1.304999,0.042738788,0.06525005,0.05
1.309999,0.04306629,0.06550004,0.05
1.314999,0.04339504,0.06575004,0.05
1.319999,0.04372504,0.06600004,0.05
1.324999,0.04405629,0.06625003,0.05
1.329999,0.04438879,0.06650003,0.05
1.334999,0.04472254,0.06675003,0.05
1.339999,0.04505754,0.067000024,0.05
1.344999,0.045393787,0.06725002,0.05
1.349999,0.045731287,0.06750002,0.05
1.354999,0.04607004,0.067750014,0.05
1.359999,0.04641004,0.06800001,0.05
1.3649989,0.04675129,0.06825001,0.05
1.3699989,0.04709379,0.068500005,0.05
1.3749989,0.04743754,0.06875,0.05
1.3799989,0.04778254,0.069,0.05
1.3849989,0.04812879,0.069249995,0.05
1.3899989,0.04847629,0.06949999,0.05
1.3949989,0.04882504,0.06974999,0.05
1.3999989,0.04917504,0.069999985,0.05
1.4049989,0.04952629,0.07024998,0.05
1.4099989,0.049878787,0.07049998,0.05
1.4149989,0.050232537,0.070749976,0.05
1.4199989,0.05058754,0.07099997,0.05
1.4249989,0.05094379,0.07124997,0.05
1.4299989,0.05130129,0.071499966,0.05
1.4349989,0.05166004,0.07174996,0.05
1.4399989,0.05202004,0.07199996,0.05
1.4449989,0.05238129,0.07224996,0.05
1.4499989,0.05274379,0.07249995,0.05
1.4549989,0.053107537,0.07274995,0.05
1.4599988,0.053472538,0.07299995,0.05
1.4649988,0.053838786,0.07324994,0.05
1.4699988,0.054206286,0.07349994,0.05
1.4749988,0.054575033,0.07374994,0.05
1.4799988,0.054945033,0.073999934,0.05
1.4849988,0.055316284,0.07424993,0.05
1.4899988,0.055688784,0.07449993,0.05
1.4949988,0.056062534,0.074749924,0.05
1.4999988,0.056437533,0.07499992,0.05
1.5049988,0.056813784,0.07524992,0.05
1.5099988,0.057191283,0.075499915,0.05
1.5149988,0.057570033,0.07574991,0.05
1.5199988,0.05795003,0.07599991,0.05
1.5249988,0.05833128,0.076249905,0.05
1.5299988,0.05871378,0.0764999,0.05
1.5349988,0.05909753,0.0767499,0.05
1.5399988,0.05948253,0.076999895,0.05
1.5449988,0.05986878,0.07724989,0.05
1.5499988,0.06025628,0.07749989,0.05
1.5549988,0.06064503,0.077749886,0.05
1.5599988,0.06103503,0.07799988,0.05
1.5649987,0.06142628,0.07824988,0.05
1.5699987,0.06181878,0.078499876,0.05
1.5749987,0.062212527,0.07874987,0.05
1.5799987,0.06260753,0.07899987,0.05
1.5849987,0.06300378,0.07924987,0.05
1.5899987,0.063401274,0.07949986,0.05
1.5949987,0.06380002,0.07974986,0.05
1.5999987,0.06420002,0.07999986,0.05
1.6049987,0.06460127,0.08024985,0.05
1.6099987,0.065003775,0.08049985,0.05
1.6149987,0.06540752,0.08074985,0.05
1.6199987,0.06581252,0.080999844,0.05
1.6249987,0.06621877,0.08124984,0.05
1.6299987,0.06662627,0.08149984,0.05
1.6349987,0.06703502,0.081749834,0.05
1.6399987,0.06744502,0.08199983,0.05
1.6449987,0.06785627,0.08224983,0.05
1.6499987,0.06826877,0.082499824,0.05
1.6549987,0.068682514,0.08274982,0.05
1.6599987,0.06909751,0.08299982,0.05
1.6649987,0.06951376,0.083249815,0.05
1.6699986,0.06993126,0.08349981,0.05
1.6749986,0.07035001,0.08374981,0.05
1.6799986,0.07077001,0.083999805,0.05
1.6849986,0.07119126,0.0842498,0.05
1.6899986,0.07161376,0.0844998,0.05
1.6949986,0.07203751,0.084749795,0.05
1.6999986,0.07246251,0.08499979,0.05
1.7049986,0.072888754,0.08524979,0.05
1.7099986,0.07331625,0.085499786,0.05
1.7149986,0.073745005,0.08574978,0.05
1.7199986,0.074175,0.08599978,0.05
1.7249986,0.07460625,0.086249776,0.05
1.7299986,0.075038746,0.08649977,0.05
1.7349986,0.0754725,0.08674977,0.05
1.7399986,0.0759075,0.08699977,0.05
1.7449986,0.076343745,0.08724976,0.05
1.7499986,0.07678124,0.08749976,0.05
1.7549986,0.07721999,0.08774976,0.05
1.7599986,0.077659994,0.08799975,0.05
1.7649986,0.07810124,0.08824975,0.05
1.7699986,0.07854374,0.08849975,0.05
1.7749985,0.07898749,0.088749744,0.05
1.7799985,0.07943249,0.08899974,0.05
1.7849985,0.07987873,0.08924974,0.05
1.7899985,0.08032623,0.089499734,0.05
1.7949985,0.08077498,0.08974973,0.05
1.7999985,0.08122498,0.08999973,0.05
1.8049985,0.08167623,0.090249725,0.05
1.8099985,0.082128726,0.09049972,0.05
1.8149985,0.082582474,0.09074972,0.05
1.8199985,0.08303747,0.090999715,0.05
1.8249985,0.083493724,0.09124971,0.05
1.8299985,0.08395122,0.09149971,0.05
1.8349985,0.08440997,0.091749705,0.05
1.8399985,0.084869966,0.0919997,0.05
1.8449985,0.08533122,0.0922497,0.05
1.8499985,0.08579371,0.092499696,0.05
1.8549985,0.08625746,0.09274969,0.05
1.8599985,0.086722456,0.09299969,0.05
1.8649985,0.087188706,0.093249686,0.05
1.8699985,0.08765621,0.09349968,0.05
1.8749985,0.08812495,0.09374968,0.05
1.8799984,0.08859495,0.09399968,0.05
1.8849984,0.0890662,0.09424967,0.05
1.8899984,0.0895387,0.09449967,0.05
1.8949984,0.090012446,0.09474967,0.05
1.8999984,0.09048744,0.09499966,0.05
1.9049984,0.09096369,0.09524966,0.05
1.9099984,0.09144119,0.09549966,0.05
1.9149984,0.09191994,0.095749654,0.05
1.9199984,0.09239994,0.09599965,0.05
1.9249984,0.09288119,0.09624965,0.05
1.9299984,0.09336369,0.096499644,0.05
1.9349984,0.09384744,0.09674964,0.05
1.9399984,0.094332434,0.09699964,0.05
1.9449984,0.09481868,0.097249635,0.05
1.9499984,0.09530618,0.09749963,0.05
1.9549984,0.09579493,0.09774963,0.05
1.9599984,0.096284926,0.097999625,0.05
1.9649984,0.09677617,0.09824962,0.05
1.9699984,0.09726867,0.09849962,0.05
1.9749984,0.09776242,0.098749615,0.05
1.9799984,0.09825742,0.09899961,0.05
1.9849983,0.09875367,0.09924961,0.05
1.9899983,0.099251166,0.099499606,0.05
1.9949983,0.099749915,0.0997496,0.05
1.9999983,0.10024992,0.0999996,0.05
2.0049984,0.10075116,0.100249596,0.05
2.0099986,0.10125366,0.10049959,0.05
2.0149987,0.10175741,0.10074959,0.05
2.0199988,0.10226241,0.10099959,0.05
2.024999,0.10276865,0.10124958,0.05
2.029999,0.10327615,0.10149958,0.05
2.0349991,0.1037849,0.10174958,0.05
2.0399992,0.104294896,0.10199957,0.05
2.0449994,0.10480615,0.10224957,0.05
2.0499995,0.10531864,0.10249957,0.05
2.0549996,0.10583239,0.102749564,0.05
2.0599997,0.10634739,0.10299956,0.05
2.0649998,0.10686364,0.10324956,0.05
2.07,0.107381135,0.103499554,0.05
2.075,0.10789988,0.10374955,0.05
2.0800002,0.10841988,0.10399955,0.05
2.0850003,0.10894113,0.104249544,0.05
2.0900004,0.109463625,0.10449954,0.05
2.0950005,0.10998737,0.10474954,0.05
2.1000006,0.11051237,0.104999535,0.05
2.1050007,0.11103862,0.10524953,0.05
2.1100008,0.11156612,0.10549953,0.05
2.115001,0.112094864,0.105749525,0.05
2.120001,0.11262486,0.10599952,0.05
2.1250012,0.11315611,0.10624952,0.05
2.1300013,0.11368861,0.106499515,0.05
2.1350014,0.114222355,0.10674951,0.05
2.1400015,0.11475735,0.10699951,0.05
2.1450016,0.1152936,0.107249506,0.05
2.1500018,0.1158311,0.1074995,0.05
2.1550019,0.11636984,0.1077495,0.05
2.160002,0.11690984,0.107999496,0.05
2.165002,0.11745109,0.10824949,0.05
2.1700022,0.117993586,0.10849949,0.05
2.1750023,0.11853734,0.10874949,0.05
2.1800025,0.11908233,0.10899948,0.05
2.1850026,0.11962858,0.10924948,0.05
2.1900027,0.12017608,0.10949948,0.05
2.1950028,0.12072483,0.10974947,0.05
2.200003,0.12127482,0.10999947,0.05
2.205003,0.12182607,0.11024947,0.05
2.2100031,0.122378565,0.110499464,0.05
2.2150033,0.122932315,0.11074946,0.05
2.2200034,0.12348731,0.11099946,0.05
2.2250035,0.124043554,0.111249454,0.05
2.2300036,0.12460105,0.11149945,0.05
2.2350037,0.1251598,0.11174945,0.05
2.2400038,0.1257198,0.111999445,0.05
2.245004,0.12628105,0.11224944,0.05
2.250004,0.12684356,0.11249944,0.05
2.2550042,0.1274073,0.112749435,0.05
2.2600043,0.12797229,0.11299943,0.05
2.2650044,0.12853853,0.11324943,0.05
2.2700045,0.12910603,0.113499425,0.05
2.2750046,0.12967478,0.11374942,0.05
2.2800047,0.13024478,0.11399942,0.05
2.2850049,0.13081603,0.114249416,0.05
2.290005,0.13138853,0.11449941,0.05
2.295005,0.13196228,0.11474941,0.05
2.3000052,0.13253728,0.114999406,0.05
2.3050053,0.13311352,0.1152494,0.05
2.3100054,0.13369101,0.1154994,0.05
2.3150055,0.13426976,0.1157494,0.05
2.3200057,0.13484976,0.11599939,0.05
2.3250058,0.135431,0.11624939,0.05
2.330006,0.13601351,0.11649939,0.05
2.335006,0.13659726,0.11674938,0.05
2.340006,0.13718225,0.11699938,0.05
2.3450062,0.13776849,0.11724938,0.05
2.3500063,0.13835599,0.117499374,0.05
2.3550065,0.13894473,0.11774937,0.05
2.3600066,0.13953473,0.11799937,0.05
2.3650067,0.14012598,0.118249364,0.05
2.3700068,0.14071847,0.11849936,0.05
2.375007,0.14131223,0.11874936,0.05
2.380007,0.14190723,0.118999355,0.05
2.3850071,0.14250347,0.11924935,0.05
2.3900073,0.14310096,0.11949935,0.05
2.3950074,0.1436997,0.119749345,0.05
2.4000075,0.1442997,0.11999934,0.05
2.4050076,0.14490095,0.12024934,0.05
2.4100077,0.14550345,0.120499335,0.05
2.4150078,0.1461072,0.12074933,0.05
2.420008,0.1467122,0.12099933,0.05
2.425008,0.14731845,0.121249326,0.05
2.4300082,0.14792594,0.12149932,0.05
2.4350083,0.14853469,0.12174932,0.05
2.4400084,0.14914468,0.121999316,0.05
2.4450085,0.14975592,0.12224931,0.05
2.4500086,0.15036842,0.12249931,0.05
2.4550087,0.15098217,0.122749306,0.05
2.4600089,0.15159717,0.1229993,0.05
2.465009,0.15221342,0.1232493,0.05
2.470009,0.15283091,0.1234993,0.05
2.4750092,0.15344965,0.12374929,0.05
2.4800093,0.15406965,0.12399929,0.05
2.4850094,0.15469089,0.12424929,0.05
2.4900095,0.15531339,0.124499284,0.05
2.4950097,0.15593714,0.12474928,0.05
2.5000098,0.15656213,0.12499928,0.05
2.50501,0.15718839,0.12524928,0.05
2.51001,0.15781589,0.12549928,0.05
2.51501,0.15844463,0.12574928,0.05
2.5200102,0.15907462,0.12599927,0.05
2.5250103,0.15970586,0.12624927,0.05
2.5300105,0.16033836,0.12649927,0.05
2.5350106,0.1609721,0.12674926,0.05
2.5400107,0.1616071,0.12699926,0.05
2.5450108,0.16224335,0.12724926,0.05
2.550011,0.16288085,0.12749925,0.05
2.555011,0.1635196,0.12774925,0.05
2.5600111,0.1641596,0.12799925,0.05
2.5650113,0.16480084,0.12824924,0.05
2.5700114,0.16544333,0.12849924,0.05
2.5750115,0.16608708,0.12874924,0.05
2.5800116,0.16673207,0.12899923,0.05
2.5850117,0.16737832,0.12924923,0.05
2.5900118,0.16802582,0.12949923,0.05
2.595012,0.16867457,0.12974922,0.05
2.600012,0.16932458,0.12999922,0.05
2.6050122,0.16997582,0.13024922,0.05
2.6100123,0.17062831,0.13049921,0.05
2.6150124,0.17128205,0.13074921,0.05
2.6200125,0.17193705,0.13099921,0.05
2.6250126,0.1725933,0.1312492,0.05
2.6300128,0.1732508,0.1314992,0.05
2.6350129,0.17390954,0.1317492,0.05
2.640013,0.17456955,0.1319992,0.05
2.645013,0.17523079,0.13224919,0.05
2.6500132,0.17589328,0.13249919,0.05
2.6550133,0.17655702,0.13274918,0.05
2.6600134,0.17722201,0.13299918,0.05
2.6650136,0.17788826,0.13324918,0.05
2.6700137,0.17855576,0.13349918,0.05
2.6750138,0.1792245,0.13374917,0.05
2.680014,0.1798945,0.13399917,0.05
2.685014,0.18056576,0.13424917,0.05
2.6900141,0.18123825,0.13449916,0.05
2.6950142,0.18191199,0.13474916,0.05
2.7000144,0.18258698,0.13499916,0.05
2.7050145,0.18326323,0.13524915,0.05
2.7100146,0.18394072,0.13549915,0.05
2.7150147,0.18461947,0.13574915,0.05
2.7200148,0.18529947,0.13599914,0.05
2.725015,0.18598072,0.13624914,0.05
2.730015,0.18666323,0.13649914,0.05
2.7350152,0.18734697,0.13674913,0.05
2.7400153,0.18803196,0.13699913,0.05
2.7450154,0.1887182,0.13724913,0.05
2.7500155,0.1894057,0.13749912,0.05
2.7550156,0.19009444,0.13774912,0.05
2.7600157,0.19078444,0.13799912,0.05
2.7650158,0.19147569,0.13824911,0.05
2.770016,0.19216819,0.13849911,0.05
2.775016,0.19286193,0.13874911,0.05
2.7800162,0.19355692,0.1389991,0.05
2.7850163,0.19425316,0.1392491,0.05
2.7900164,0.19495066,0.1394991,0.05
2.7950165,0.1956494,0.1397491,0.05
2.8000166,0.1963494,0.13999909,0.05
2.8050168,0.19705065,0.14024909,0.05
2.8100169,0.19775315,0.14049909,0.05
2.815017,0.1984569,0.14074908,0.05
2.820017,0.19916189,0.14099908,0.05
2.8250172,0.19986813,0.14124908,0.05
2.8300173,0.20057562,0.14149907,0.05
2.8350174,0.20128436,0.14174907,0.05
2.8400176,0.20199436,0.14199907,0.05
2.8450177,0.2027056,0.14224906,0.05
2.8500178,0.2034181,0.14249906,0.05
2.855018,0.20413186,0.14274906,0.05
2.860018,0.20484686,0.14299905,0.05
2.8650181,0.2055631,0.14324905,0.05
2.8700182,0.20628059,0.14349905,0.05
2.8750184,0.20699933,0.14374904,0.05
2.8800185,0.20771933,0.14399904,0.05
2.8850186,0.20844057,0.14424904,0.05
2.8900187,0.20916307,0.14449903,0.05
2.8950188,0.20988682,0.14474903,0.05
2.900019,0.21061182,0.14499903,0.05
2.905019,0.21133806,0.14524902,0.05
2.9100192,0.21206555,0.14549902,0.05
2.9150193,0.21279429,0.14574902,0.05
2.9200194,0.21352428,0.14599901,0.05
2.9250195,0.21425553,0.14624901,0.05
2.9300196,0.21498802,0.14649901,0.05
2.9350197,0.21572177,0.146749,0.05
2.9400198,0.21645677,0.146999,0.05
2.94502,0.21719302,0.147249,0.05
2.95002,0.21793051,0.147499,0.05
2.9550202,0.21866925,0.14774899,0.05
2.9600203,0.21940924,0.14799899,0.05
2.9650204,0.22015049,0.14824899,0.05
2.9700205,0.22089298,0.14849898,0.05
2.9750206,0.22163673,0.14874898,0.05
2.9800208,0.22238173,0.14899898,0.05
2.9850209,0.22312798,0.14924897,0.05
2.990021,0.22387548,0.14949897,0.05
2.995021,0.22462422,0.14974897,0.05
3.0000212,0.2253742,0.14999896,0.05
3.0050213,0.22612545,0.15024896,0.05
3.0100214,0.22687794,0.15049896,0.05
3.0150216,0.22763169,0.15074895,0.05
3.0200217,0.22838669,0.15099895,0.05
3.0250218,0.22914293,0.15124895,0.05
3.030022,0.22990043,0.15149894,0.05
3.035022,0.23065917,0.15174894,0.05
3.0400221,0.23141916,0.15199894,0.05
3.0450222,0.2321804,0.15224893,0.05
3.0500224,0.2329429,0.15249893,0.05
3.0550225,0.23370664,0.15274893,0.05
3.0600226,0.23447163,0.15299892,0.05
3.0650227,0.23523788,0.15324892,0.05
3.0700228,0.23600538,0.15349892,0.05
3.075023,0.23677413,0.15374891,0.05
3.080023,0.23754412,0.15399891,0.05
3.0850232,0.23831536,0.15424891,0.05
3.0900233,0.23908785,0.1544989,0.05
3.0950234,0.2398616,0.1547489,0.05
3.1000235,0.24063659,0.1549989,0.05
3.1050236,0.24141283,0.1552489,0.05
3.1100237,0.24219033,0.15549889,0.05
3.1150239,0.24296908,0.15574889,0.05
3.120024,0.24374908,0.15599889,0.05
3.125024,0.24453032,0.15624888,0.05
3.1300242,0.24531281,0.15649888,0.05
3.1350243,0.24609655,0.15674888,0.05
3.1400244,0.24688154,0.15699887,0.05
3.1450245,0.24766779,0.15724887,0.05
3.1500247,0.24845529,0.15749887,0.05
3.1550248,0.24924403,0.15774886,0.05
